id,fname,lname,email,belongs_to_class,class_id,absences,password
74,Fleyr,Gonzales,student74@email.com,1,15,3,studentpassword
75,Harper,Correa,student75@email.com,1,15,6,studentpassword
76,Amanah,Millington,student76@email.com,1,16,22,studentpassword
77,Sky,Lawrence,student77@email.com,1,16,28,studentpassword
78,Alessia,Lindsey,student78@email.com,1,16,19,studentpassword
79,Maxime,Middleton,student79@email.com,1,16,21,studentpassword
80,Julian,Fischer,student80@email.com,1,16,7,studentpassword
81,Nafisa,Michael,student81@email.com,1,17,4,studentpassword
82,Orlaith,Correa,student82@email.com,1,17,8,studentpassword
83,Hasnain,Narnard,student83@email.com,1,17,3,studentpassword
84,Anderson,House,student84@email.com,1,17,6,studentpassword
85,Kush,Hill,student85@email.com,1,17,22,studentpassword
86,Sian,Turnbull,student86@email.com,1,18,28,studentpassword
87,Eamon,Krause,student87@email.com,1,18,19,studentpassword
88,Usama,Carroll,student88@email.com,1,18,21,studentpassword
89,Kris,Smith,student89@email.com,1,18,7,studentpassword
90,Kara,Stephenson,student90@email.com,1,18,4,studentpassword
91,Rio,Mackenzie,student91@email.com,1,19,8,studentpassword
92,Corban,Koch,student92@email.com,1,19,10,studentpassword
93,Marlene,chaney,student93@email.com,1,19,7,studentpassword
94,Sebastian,Merrill,student94@email.com,1,19,3,studentpassword
95,Yuvaan,Mckinney,student95@email.com,1,19,6,studentpassword
96,Mark,Shaffer,student96@email.com,1,20,22,studentpassword
97,Taslima,Wade,student97@email.com,1,20,28,studentpassword
98,Kirk,Conroy,student98@email.com,1,20,19,studentpassword
99,Gurpreet,Boyd,student99@email.com,1,20,21,studentpassword
100,Mandeep,Stein,student100@email.com,1,20,7,studentpassword
101,Alvin,Hamilton,student101@email.com,1,21,4,studentpassword
102,Cecilia,Lyon,student102@email.com,1,21,8,studentpassword
103,Hayden,Carroll,student103@email.com,1,21,2,studentpassword
104,Lily,Morley,student104@email.com,1,21,18,studentpassword
105,Marta,Bernard,student105@email.com,1,21,9,studentpassword
106,Tracy,Rice,student106@email.com,1,22,6,studentpassword
107,Sufyaan,Deleon,student107@email.com,1,22,10,studentpassword
108,Tamar,Bolton,student108@email.com,1,22,7,studentpassword
109,Roisin,Huffman,student109@email.com,1,22,3,studentpassword
110,Ruby,Nunez,student110@email.com,1,22,6,studentpassword
111,Amiyah,Steadman,student111@email.com,1,23,22,studentpassword
112,Fleyr,Gonzales,student112@email.com,1,23,28,studentpassword
113,Harper,Correa,student113@email.com,1,23,19,studentpassword
114,Amanah,Millington,student114@email.com,1,23,21,studentpassword
115,Sky,Lawrence,student115@email.com,1,23,7,studentpassword
116,Alessia,Lindsey,student116@email.com,1,24,4,studentpassword
117,Maxime,Middleton,student117@email.com,1,24,8,studentpassword
118,Julian,Fischer,student118@email.com,1,24,2,studentpassword
119,Nafisa,Michael,student119@email.com,1,24,18,studentpassword
120,Orlaith,Correa,student120@email.com,1,24,9,studentpassword
